Location,Size (sqft),BHK,Bathrooms,Price (INR),Property Type,Age of Property (years),Furnishing Status,Transaction Type,Floor Number,Total Floors,Parking,Nearby Amenity
Nashik,652,2,4,5700000,Studio Apartment,0,Semi-furnished,Resale,25,37,1,Park
Nashik,2309,4,4,23400000,Studio Apartment,13,Unfurnished,New Booking,21,31,3,Hospital Nearby
Nagpur,427,2,4,31500000,Villa,11,Semi-furnished,New Booking,17,38,0,Swimming Pool
Kolhapur,1958,4,3,21600000,Penthouse,21,Semi-furnished,New Booking,12,38,2,School Nearby
Thane,4479,2,2,36600000,Apartment,8,Semi-furnished,Resale,1,18,0,Park
Nagpur,2899,1,1,40600000,Independent House,6,Unfurnished,New Booking,14,31,1,Gym
Sangli,4721,4,3,26600000,Independent House,20,Semi-furnished,Resale,4,33,1,Mall Nearby
Mumbai,2897,5,1,5900000,Apartment,29,Furnished,New Booking,16,39,0,Gym
Mumbai,3753,3,3,8200000,Independent House,14,Unfurnished,Resale,30,37,2,Mall Nearby
Solapur,1584,5,2,2500000,Penthouse,15,Unfurnished,New Booking,20,40,1,Swimming Pool
Thane,1040,2,3,27000000,Penthouse,12,Semi-furnished,Resale,1,9,3,Mall Nearby
Nagpur,1034,1,4,28400000,Penthouse,2,Unfurnished,New Booking,11,19,1,Swimming Pool
Sangli,3052,1,4,7600000,Villa,10,Unfurnished,New Booking,5,25,2,Gym
Sangli,2557,5,2,23200000,Penthouse,9,Semi-furnished,Resale,9,32,1,Hospital Nearby
Thane,3258,1,4,28500000,Independent House,17,Unfurnished,New Booking,18,34,3,Mall Nearby
Pune,2633,2,1,23300000,Independent House,29,Semi-furnished,New Booking,28,38,1,School Nearby
Thane,4959,4,1,13500000,Villa,11,Unfurnished,New Booking,22,37,2,Mall Nearby
Pune,3083,5,2,34300000,Penthouse,18,Semi-furnished,New Booking,17,21,1,Hospital Nearby
Kolhapur,1221,5,1,28900000,Apartment,11,Furnished,Resale,16,36,1,Swimming Pool
Amravati,3306,5,4,9500000,Studio Apartment,16,Semi-furnished,Resale,13,24,0,Park
Mumbai,1934,3,4,47400000,Apartment,6,Semi-furnished,New Booking,3,7,1,Gym
Mumbai,1794,4,3,29800000,Villa,7,Furnished,New Booking,3,4,2,Park
Nagpur,4253,5,4,29300000,Independent House,17,Unfurnished,Resale,29,40,2,Mall Nearby
Solapur,1152,4,4,42300000,Studio Apartment,15,Semi-furnished,Resale,7,27,3,Park
Nashik,813,3,1,8000000,Penthouse,27,Unfurnished,Resale,25,31,0,Hospital Nearby
Pune,4976,4,1,16100000,Independent House,7,Semi-furnished,New Booking,16,34,2,School Nearby
Sangli,709,5,1,3900000,Studio Apartment,17,Furnished,Resale,16,21,2,Swimming Pool
Sangli,4912,4,2,7700000,Studio Apartment,22,Semi-furnished,Resale,8,16,3,School Nearby
Kolhapur,3801,2,2,29700000,Penthouse,4,Unfurnished,New Booking,3,4,0,Park
Nashik,4399,4,2,47800000,Independent House,0,Semi-furnished,Resale,4,10,1,Gym
Nashik,4119,2,1,21500000,Studio Apartment,28,Unfurnished,New Booking,14,29,0,School Nearby
Amravati,3219,1,1,48000000,Studio Apartment,26,Semi-furnished,Resale,12,39,3,Park
Mumbai,1441,3,1,19000000,Villa,24,Semi-furnished,New Booking,27,32,2,Park
Sangli,4069,2,1,2300000,Studio Apartment,29,Furnished,New Booking,2,10,1,Hospital Nearby
Sangli,1371,1,4,29500000,Apartment,14,Furnished,New Booking,30,39,2,Park
Mumbai,850,1,4,45200000,Studio Apartment,14,Furnished,New Booking,23,32,3,Mall Nearby
Nagpur,316,1,2,38400000,Penthouse,16,Unfurnished,Resale,25,31,0,Hospital Nearby
Thane,1697,4,4,12600000,Apartment,26,Unfurnished,Resale,1,17,1,Gym
Thane,3326,1,1,35600000,Independent House,3,Furnished,Resale,16,32,0,Park
Amravati,1065,4,2,36900000,Studio Apartment,27,Semi-furnished,New Booking,1,25,2,Mall Nearby
Nagpur,695,3,3,42800000,Villa,1,Semi-furnished,New Booking,30,40,2,Park
Sangli,3387,5,4,41600000,Villa,22,Unfurnished,Resale,1,37,3,School Nearby
Pune,1088,5,4,31400000,Apartment,16,Furnished,Resale,19,40,1,School Nearby
Nagpur,3586,4,3,37400000,Independent House,12,Furnished,Resale,27,28,2,Park
Solapur,2846,5,1,1200000,Villa,27,Unfurnished,Resale,20,30,3,Mall Nearby
Pune,3890,4,4,9600000,Studio Apartment,5,Semi-furnished,Resale,16,33,3,Gym
Sangli,3572,2,3,24800000,Apartment,26,Semi-furnished,Resale,21,35,3,Hospital Nearby
Solapur,1356,5,4,39800000,Independent House,11,Semi-furnished,New Booking,16,40,1,Swimming Pool
Amravati,2106,3,1,14000000,Independent House,5,Semi-furnished,Resale,23,37,0,Hospital Nearby
Nagpur,2236,5,2,2700000,Penthouse,28,Semi-furnished,Resale,9,15,2,Mall Nearby
Nashik,4007,2,4,14500000,Villa,6,Unfurnished,New Booking,25,27,1,School Nearby
Thane,2688,2,1,24900000,Studio Apartment,26,Semi-furnished,New Booking,25,27,3,Mall Nearby
Nagpur,2491,1,2,2300000,Apartment,21,Unfurnished,New Booking,2,39,2,Mall Nearby
Amravati,3068,3,2,25900000,Independent House,26,Furnished,Resale,7,38,1,Park
Solapur,1616,4,2,30200000,Studio Apartment,23,Furnished,New Booking,25,28,0,Park
Mumbai,4851,1,1,2000000,Independent House,15,Furnished,Resale,11,34,3,Hospital Nearby
Solapur,4704,2,2,10400000,Penthouse,9,Unfurnished,Resale,14,16,2,Park
Solapur,3476,4,1,5900000,Independent House,17,Unfurnished,New Booking,6,24,0,Park
Mumbai,1350,3,1,49300000,Villa,12,Semi-furnished,Resale,9,40,3,Mall Nearby
Kolhapur,317,5,1,46200000,Independent House,23,Semi-furnished,New Booking,14,23,3,Gym
Amravati,1856,4,1,2300000,Penthouse,15,Unfurnished,Resale,28,35,2,Swimming Pool
Nagpur,316,2,2,4100000,Apartment,28,Furnished,New Booking,15,39,3,Gym
Nashik,2392,2,1,10600000,Villa,17,Furnished,New Booking,6,12,1,Hospital Nearby
Pune,492,3,1,22900000,Villa,0,Semi-furnished,Resale,8,40,2,Gym
Pune,3356,4,4,31200000,Villa,19,Semi-furnished,New Booking,7,20,0,Mall Nearby
Mumbai,4312,1,1,42800000,Villa,25,Furnished,Resale,22,29,3,School Nearby
Thane,2026,5,3,30000000,Villa,25,Semi-furnished,New Booking,23,37,3,Hospital Nearby
Aurangabad,2441,2,1,36600000,Penthouse,12,Unfurnished,New Booking,20,28,0,Hospital Nearby
Kolhapur,4429,5,3,29000000,Villa,4,Unfurnished,Resale,22,23,1,Gym
Solapur,2674,2,1,49000000,Studio Apartment,29,Semi-furnished,New Booking,21,29,0,Park
Aurangabad,2608,5,4,1400000,Villa,25,Furnished,New Booking,14,19,0,Mall Nearby
Solapur,3703,5,1,32500000,Studio Apartment,14,Semi-furnished,New Booking,24,28,3,Park
Mumbai,542,1,4,32600000,Independent House,27,Semi-furnished,Resale,2,8,1,Gym
Amravati,3939,2,4,28900000,Penthouse,26,Semi-furnished,New Booking,22,28,3,Mall Nearby
Nashik,2950,3,4,29500000,Independent House,7,Unfurnished,New Booking,1,37,0,Park
Nagpur,2583,3,1,14700000,Villa,1,Furnished,New Booking,12,19,1,Swimming Pool
Sangli,1458,1,3,29400000,Villa,0,Furnished,New Booking,14,16,3,Hospital Nearby
Solapur,2891,3,3,7000000,Studio Apartment,20,Semi-furnished,Resale,6,31,0,Swimming Pool
Mumbai,4091,1,4,21500000,Villa,11,Furnished,New Booking,28,29,3,Gym
Sangli,2429,3,2,18600000,Penthouse,21,Semi-furnished,New Booking,30,37,0,Mall Nearby
Pune,3316,1,2,37600000,Villa,15,Semi-furnished,New Booking,4,35,1,Gym
Pune,1364,4,4,46000000,Independent House,16,Semi-furnished,Resale,9,9,0,Swimming Pool
Solapur,1737,2,4,31000000,Apartment,25,Furnished,New Booking,28,32,3,Gym
Aurangabad,2821,5,1,46300000,Studio Apartment,29,Semi-furnished,Resale,19,27,3,Park
Amravati,868,4,3,8300000,Penthouse,18,Semi-furnished,New Booking,10,15,2,Swimming Pool
Mumbai,936,1,2,16300000,Apartment,20,Furnished,New Booking,24,25,2,Swimming Pool
Pune,2343,3,1,31700000,Studio Apartment,14,Unfurnished,New Booking,7,34,0,Mall Nearby
Thane,2528,2,2,23400000,Studio Apartment,6,Furnished,New Booking,9,37,3,Gym
Mumbai,4914,2,4,35500000,Villa,14,Furnished,Resale,2,37,3,Park
Nashik,2328,2,4,43200000,Penthouse,28,Semi-furnished,New Booking,29,34,2,Swimming Pool
Amravati,2446,5,2,37000000,Villa,23,Furnished,New Booking,29,29,2,Mall Nearby
Mumbai,2821,4,4,10900000,Independent House,9,Semi-furnished,New Booking,2,12,1,Mall Nearby
Sangli,2843,5,1,10400000,Studio Apartment,8,Unfurnished,Resale,2,3,2,School Nearby
Nagpur,1082,1,1,40600000,Villa,20,Furnished,Resale,8,18,3,Mall Nearby
Thane,359,3,2,27700000,Penthouse,28,Semi-furnished,New Booking,15,16,0,Park
Nashik,457,2,4,21900000,Penthouse,12,Semi-furnished,New Booking,6,26,3,Park
Nagpur,4698,4,4,14600000,Apartment,26,Unfurnished,New Booking,16,31,2,Mall Nearby
Thane,1138,3,4,14900000,Independent House,25,Semi-furnished,New Booking,4,39,3,Park
Thane,4461,3,1,47700000,Studio Apartment,21,Furnished,New Booking,8,26,3,School Nearby
Solapur,2407,1,1,2700000,Independent House,11,Unfurnished,Resale,16,21,0,Swimming Pool
Mumbai,741,1,3,7600000,Apartment,11,Unfurnished,Resale,12,13,2,Park
Mumbai,2817,4,3,17500000,Studio Apartment,6,Unfurnished,New Booking,24,24,1,School Nearby
Sangli,1848,1,2,21400000,Studio Apartment,20,Furnished,Resale,3,12,0,Mall Nearby
Nagpur,2566,2,1,42000000,Villa,15,Semi-furnished,New Booking,9,25,0,School Nearby
Sangli,3498,4,4,27100000,Apartment,10,Furnished,Resale,13,24,1,School Nearby
Thane,4121,2,2,37900000,Studio Apartment,5,Semi-furnished,New Booking,27,35,3,School Nearby
Nagpur,3620,1,1,13700000,Villa,17,Unfurnished,Resale,24,35,0,Swimming Pool
Aurangabad,4893,2,4,40100000,Independent House,8,Semi-furnished,New Booking,29,35,0,School Nearby
Thane,1962,4,2,3000000,Studio Apartment,21,Semi-furnished,New Booking,19,20,3,Park
Solapur,4471,5,3,41500000,Villa,24,Furnished,New Booking,10,33,1,Hospital Nearby
Thane,4261,1,3,42600000,Studio Apartment,16,Furnished,New Booking,4,32,1,Hospital Nearby
Kolhapur,4829,4,1,1000000,Penthouse,4,Furnished,Resale,17,19,3,Hospital Nearby
Pune,3992,2,1,29600000,Villa,3,Unfurnished,New Booking,22,40,3,School Nearby
Nagpur,1187,5,2,42200000,Penthouse,29,Unfurnished,New Booking,26,36,1,Mall Nearby
Kolhapur,4832,5,4,35000000,Apartment,7,Unfurnished,Resale,9,37,0,Gym
Sangli,4535,4,3,14900000,Independent House,26,Furnished,New Booking,12,32,0,Mall Nearby
Nagpur,4742,3,2,39700000,Penthouse,30,Unfurnished,New Booking,6,25,0,School Nearby
Nashik,4630,3,2,6300000,Independent House,4,Furnished,New Booking,2,24,3,Mall Nearby
Solapur,4828,3,1,48800000,Penthouse,24,Furnished,Resale,2,14,0,Mall Nearby
Sangli,1777,1,1,16600000,Penthouse,30,Furnished,New Booking,26,30,1,Park
Mumbai,2533,3,3,23400000,Apartment,20,Furnished,New Booking,30,33,3,Swimming Pool
Nagpur,1010,2,3,22400000,Apartment,27,Furnished,Resale,19,30,1,School Nearby
Pune,2055,4,4,42300000,Villa,21,Semi-furnished,New Booking,15,27,1,Hospital Nearby
Thane,3242,4,3,18200000,Penthouse,2,Furnished,New Booking,23,39,3,Hospital Nearby
Aurangabad,1442,2,3,8100000,Independent House,17,Furnished,Resale,25,25,2,School Nearby
Nagpur,2523,3,2,42800000,Independent House,21,Furnished,Resale,17,33,1,Mall Nearby
Amravati,4511,4,3,48100000,Villa,7,Semi-furnished,Resale,6,33,0,Mall Nearby
Kolhapur,4668,2,2,12000000,Penthouse,11,Unfurnished,Resale,23,39,2,Gym
Kolhapur,4372,4,3,35600000,Independent House,27,Semi-furnished,New Booking,27,31,1,School Nearby
Sangli,4979,5,2,15300000,Apartment,9,Unfurnished,New Booking,3,34,3,Gym
Nagpur,4646,3,2,22100000,Independent House,12,Unfurnished,New Booking,10,21,2,Mall Nearby
Mumbai,4808,3,4,12000000,Apartment,11,Unfurnished,New Booking,14,21,3,Swimming Pool
Thane,1498,4,4,40800000,Penthouse,25,Semi-furnished,Resale,20,24,1,Mall Nearby
Kolhapur,4641,2,1,40800000,Apartment,6,Unfurnished,Resale,27,32,2,School Nearby
Mumbai,1379,1,1,27000000,Villa,29,Furnished,Resale,4,33,2,Park
Mumbai,1786,5,3,43400000,Villa,9,Furnished,New Booking,28,39,1,Swimming Pool
Solapur,2310,2,4,20400000,Studio Apartment,8,Furnished,Resale,22,37,1,Hospital Nearby
Kolhapur,1298,3,4,33700000,Penthouse,4,Furnished,Resale,25,33,2,School Nearby
Solapur,2662,2,2,26100000,Independent House,3,Furnished,New Booking,6,29,2,Park
Solapur,909,3,2,17500000,Apartment,15,Unfurnished,Resale,22,25,2,Swimming Pool
Kolhapur,3375,5,4,19800000,Studio Apartment,13,Unfurnished,Resale,5,24,3,School Nearby
Sangli,912,4,2,28900000,Villa,8,Furnished,Resale,7,30,3,Mall Nearby
Thane,2641,3,1,48400000,Independent House,23,Semi-furnished,New Booking,3,7,2,Park
Nagpur,3328,4,1,40200000,Apartment,4,Semi-furnished,Resale,27,33,3,Mall Nearby
Nashik,1887,5,3,49100000,Villa,2,Semi-furnished,New Booking,23,27,1,Swimming Pool
Thane,670,1,1,15300000,Villa,5,Furnished,New Booking,18,20,0,School Nearby
Nagpur,4571,3,4,39200000,Independent House,15,Semi-furnished,Resale,27,29,2,Hospital Nearby
Sangli,2243,3,3,38000000,Independent House,8,Furnished,Resale,15,19,3,Gym
Nagpur,1531,4,1,26400000,Apartment,27,Furnished,New Booking,6,37,1,Hospital Nearby
Pune,2671,3,2,16500000,Villa,20,Semi-furnished,Resale,25,33,3,Gym
Solapur,1857,3,2,44800000,Penthouse,21,Unfurnished,Resale,9,9,2,Swimming Pool
Sangli,3375,4,3,18300000,Apartment,29,Furnished,New Booking,14,23,2,School Nearby
Thane,4956,1,2,29000000,Independent House,7,Unfurnished,Resale,9,39,1,Park
Sangli,831,2,4,2600000,Studio Apartment,27,Unfurnished,New Booking,29,33,2,Hospital Nearby
Nashik,2578,5,2,5100000,Apartment,25,Furnished,Resale,29,34,0,Swimming Pool
Nagpur,1102,4,1,18800000,Penthouse,30,Semi-furnished,New Booking,3,32,0,Gym
Pune,1296,2,1,5500000,Independent House,6,Semi-furnished,Resale,22,25,0,Mall Nearby
Mumbai,4349,1,3,36200000,Villa,15,Furnished,New Booking,9,9,3,Gym
Amravati,2736,1,1,15400000,Studio Apartment,0,Semi-furnished,Resale,14,30,1,School Nearby
Mumbai,1930,4,1,6000000,Villa,24,Furnished,Resale,6,35,2,Gym
Nagpur,4292,3,1,38900000,Independent House,27,Unfurnished,Resale,13,16,2,Hospital Nearby
Amravati,851,5,3,46600000,Penthouse,10,Semi-furnished,New Booking,3,10,3,School Nearby
Solapur,1921,1,4,23100000,Penthouse,7,Unfurnished,New Booking,24,30,2,School Nearby
Solapur,4063,4,1,16700000,Independent House,11,Furnished,New Booking,28,38,3,Swimming Pool
Nagpur,1886,3,4,5800000,Penthouse,24,Unfurnished,New Booking,27,39,3,School Nearby
Thane,1794,1,3,36700000,Villa,7,Furnished,New Booking,23,23,1,Park
Thane,1335,5,1,14900000,Independent House,17,Unfurnished,New Booking,9,30,3,Swimming Pool
Thane,3828,3,3,27800000,Penthouse,4,Unfurnished,New Booking,13,20,1,Gym
Thane,1145,1,3,48400000,Apartment,19,Furnished,New Booking,13,23,1,Swimming Pool
Amravati,2520,2,3,35700000,Studio Apartment,21,Furnished,Resale,9,40,2,School Nearby
Nashik,4335,1,4,40000000,Villa,4,Furnished,New Booking,18,21,0,Hospital Nearby
Solapur,2444,4,1,35700000,Penthouse,10,Semi-furnished,Resale,12,29,0,Mall Nearby
Mumbai,1795,4,2,27900000,Villa,19,Semi-furnished,Resale,17,17,0,School Nearby
Thane,3797,4,1,43100000,Independent House,19,Unfurnished,Resale,6,6,2,School Nearby
Solapur,3758,3,2,31900000,Studio Apartment,26,Furnished,Resale,5,35,3,Swimming Pool
Aurangabad,4423,3,2,32700000,Studio Apartment,20,Unfurnished,Resale,9,31,1,Gym
Mumbai,2848,5,3,32100000,Penthouse,21,Furnished,Resale,2,31,1,School Nearby
Aurangabad,4200,3,3,38000000,Penthouse,18,Furnished,Resale,14,38,3,Park
Thane,3290,3,4,16500000,Independent House,16,Semi-furnished,New Booking,25,30,1,Gym
Kolhapur,2099,1,3,11100000,Apartment,24,Furnished,Resale,22,24,1,Gym
Amravati,942,5,4,30100000,Villa,6,Semi-furnished,New Booking,8,38,2,Gym
Kolhapur,1714,5,2,44500000,Villa,15,Furnished,New Booking,25,35,1,Hospital Nearby
Aurangabad,2576,1,1,1100000,Apartment,4,Furnished,Resale,17,18,3,Hospital Nearby
Kolhapur,1815,3,1,21600000,Independent House,26,Semi-furnished,Resale,23,29,3,Park
Kolhapur,3580,2,2,39200000,Studio Apartment,23,Furnished,Resale,7,39,1,Hospital Nearby
Sangli,4578,2,2,24100000,Villa,16,Semi-furnished,Resale,18,19,0,Hospital Nearby
Kolhapur,2953,3,4,38500000,Independent House,16,Unfurnished,New Booking,25,28,2,Hospital Nearby
Nagpur,3030,4,2,33000000,Apartment,10,Furnished,New Booking,6,23,3,Hospital Nearby
Thane,850,2,1,6200000,Independent House,25,Unfurnished,Resale,17,18,0,Swimming Pool
Aurangabad,2188,5,3,23600000,Studio Apartment,8,Unfurnished,Resale,12,33,1,Hospital Nearby
Aurangabad,4123,5,2,3200000,Apartment,10,Furnished,Resale,4,8,3,Swimming Pool
Solapur,2003,5,3,22200000,Apartment,5,Unfurnished,New Booking,19,37,3,School Nearby
Amravati,2452,1,3,21000000,Villa,11,Furnished,New Booking,18,36,1,School Nearby
Solapur,2944,1,4,3200000,Studio Apartment,16,Unfurnished,Resale,29,35,1,Gym
Solapur,2842,5,4,1300000,Independent House,11,Unfurnished,New Booking,4,24,1,Gym
Kolhapur,1022,2,2,30400000,Apartment,29,Unfurnished,New Booking,18,38,2,Hospital Nearby
Aurangabad,650,2,4,1300000,Apartment,3,Unfurnished,New Booking,18,32,1,School Nearby
Aurangabad,4134,5,4,43300000,Penthouse,16,Unfurnished,New Booking,10,32,2,Mall Nearby
Sangli,1259,3,3,34900000,Studio Apartment,23,Furnished,New Booking,17,33,2,Mall Nearby
Aurangabad,4806,2,1,48300000,Villa,4,Unfurnished,New Booking,13,33,1,Swimming Pool
Aurangabad,2977,3,4,36300000,Studio Apartment,25,Furnished,Resale,15,36,2,Mall Nearby
Nashik,2083,2,3,40300000,Apartment,20,Unfurnished,New Booking,18,23,1,School Nearby
Pune,1414,4,1,8700000,Independent House,25,Furnished,New Booking,9,31,0,Hospital Nearby
Thane,2981,3,2,24500000,Independent House,30,Unfurnished,New Booking,5,20,0,Hospital Nearby
Kolhapur,1734,1,1,3900000,Apartment,7,Unfurnished,Resale,27,29,2,Swimming Pool
Thane,1821,4,1,43100000,Studio Apartment,6,Furnished,Resale,9,25,1,Hospital Nearby
Mumbai,3016,1,4,37100000,Apartment,29,Furnished,New Booking,2,13,3,Park
Nagpur,4676,1,1,22600000,Penthouse,16,Furnished,Resale,21,25,1,Swimming Pool
Kolhapur,3000,5,2,48300000,Studio Apartment,3,Unfurnished,New Booking,11,14,2,Gym
Amravati,1364,4,4,25700000,Penthouse,14,Semi-furnished,New Booking,9,40,3,Hospital Nearby
Pune,4735,2,4,22600000,Apartment,6,Furnished,Resale,5,10,1,Gym
Nashik,729,5,4,4700000,Villa,26,Semi-furnished,Resale,3,33,3,School Nearby
Nagpur,1187,2,3,22200000,Independent House,20,Unfurnished,New Booking,6,34,0,Gym
Nashik,3873,2,2,30600000,Independent House,28,Furnished,New Booking,25,34,2,School Nearby
Kolhapur,4018,2,2,10500000,Independent House,4,Unfurnished,New Booking,6,9,0,Mall Nearby
Thane,4965,4,2,21200000,Apartment,19,Semi-furnished,New Booking,23,28,1,Mall Nearby
Solapur,2826,1,4,23400000,Studio Apartment,16,Unfurnished,Resale,9,17,0,Mall Nearby
